a
b
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
1016	銘傳大學	340307	國際企業(與)(管理)學系	D 日	M 碩士	56	0	21	30 臺北市	1 一般
1016	銘傳大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	41	0	13	30 臺北市	1 一般
1017	實踐大學	230303	工業(產品)設計學系	D 日	M 碩士	82	0	11	30 臺北市	1 一般
1017	實踐大學	340301	企業管理學系	D 日	M 碩士	25	0	17	30 臺北市	1 一般
1017	實踐大學	340307	國際企業(與)(管理)學系	D 日	M 碩士	5	0	0	30 臺北市	1 一般
1017	實踐大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	18	0	11	30 臺北市	1 一般
1018	朝陽科技大學	239988	藝術設計類產業研發專班	D 日	M 碩士	7	0	1	06 臺中市	2 技職
1018	朝陽科技大學	440188	化學類產業研發專班	D 日	M 碩士	3	0	1	06 臺中市	2 技職
1019	高雄醫學大學	340908	醫務管理暨醫療資訊學系	D 日	M 碩士	25	0	12	50 高雄市	1 一般
1019	高雄醫學大學	420302	(自然)生物科技學系	D 日	M 碩士	12	0	7	50 高雄市	1 一般
